hour,is_peak,elec,solar
0,0,1.4369,0
1,0,1.384,0
2,0,1.4896,0
3,0,1.5717,0
4,0,2.2712,0
5,0,4.083,0
6,0,5.1568,0
7,0,6.24955,0
8,0,8.3006,0
9,0,8.93145,0.014816361
10,0,9.63665,0.088793823
11,0,9.3404,0.267633556
12,0,9.3909,0.41579716175000003
13,0,9.86425,0.47787979950000004
14,0,9.10815,0.475062604
15,1,9.4092,0.42111853099999996
16,1,6.8731,0.329820534
17,1,6.89725,0.173518364
18,1,6.17455,0.026502504
19,1,5.72025,0
20,0,5.361,0
21,0,4.36785,0
22,0,2.9823,0
23,0,1.74875,0
0,0,1.4616,0
1,0,1.6075,0
2,0,1.6857,0
3,0,1.5499,0
4,0,2.4053,0
5,0,3.30755,0
6,0,5.31085,0
7,0,6.36195,0
8,0,8.03845,0
9,0,9.0417,0.014607679500000002
10,0,9.40075,0.088793823
11,0,9.598,0.26648581
12,0,9.3601,0.412875626
13,0,9.6378,0.47986227
14,0,9.334,0.478818865
15,1,9.1666,0.433117696
16,1,6.87315,0.331176962
17,1,7.1748,0.17278798
18,1,6.1171,0.026815526
19,1,5.50105,0
20,0,5.3912,0
21,0,4.68955,0
22,0,3.06715,0
23,0,1.8313,0
0,0,1.3969,0
1,0,1.3232,0
2,0,1.65325,0
3,0,1.69965,0
4,0,2.25415,0
5,0,3.1639,0
6,0,5.0913,0
7,0,6.5964,0
8,0,7.9821,0
9,0,8.6188,0.013877295249999998
10,0,9.0122,0.086915693
11,0,8.87635,0.26481636049999996
12,0,8.7843,0.40797162
13,0,9.1793,0.471723706
14,0,9.23975,0.467758765
15,1,8.78535,0.418405676
16,1,7.3705,0.32898581
17,1,6.9611,0.175187813
18,1,6.4765,0.027963271999999997
19,1,6.16785,0
20,0,5.83615,0
21,0,4.95985,0
22,0,2.9922,0
23,0,1.8121,0
0,0,1.33115,0
1,0,1.50045,0
2,0,1.6062,0
3,0,1.69965,0
4,0,2.0506,0
5,0,3.15985,0
6,0,5.32685,0
7,0,6.6926,0
8,0,7.87745,0
9,0,9.3604,0.013981636
10,0,9.1794,0.087228714
11,0,9.42635,0.266590151
12,0,9.7604,0.41444073475000004
13,0,9.18505,0.482992488
14,0,9.7869,0.48288814674999997
15,1,8.7637,0.434161102
16,1,7.31855,0.368113523
17,1,6.9601,0.128443239
18,1,6.14675,0.039962438
19,1,5.8038,0
20,0,5.24515,0
21,0,4.68885,0
22,0,3.11385,0
23,0,1.9101,0
0,0,1.8738,0
1,0,1.58255,0
2,0,1.64415,0
3,0,2.02415,0
4,0,2.7473,0
5,0,3.8113,0
6,0,5.2102,0
7,0,6.2999,0
8,0,8.4482,0
9,0,9.2896,0.009599332
10,0,9.293,0.091506678
