net_load,renewables,renewables_to_load_ratio,load.load
16652.16667,7028.25,0.340971919,20625.66667
15367.08333,7444.333333,0.374130501,19903.66667
14601.91667,7902.75,0.406984975,19419.41667
14279.5,7894.916667,0.415137311,19017.5
14652.58333,7366.166667,0.390378531,18869.75
14887.25,7403.5,0.387625937,19100.75
15356.33333,7378.333333,0.377437685,19548.91667
15240.33333,8074.166667,0.408106041,19784.5
11857.75,11006.33333,0.569800963,19340.08333
8620.333333,13107.58333,0.714335917,18370.75
6836.333333,13953.66667,0.797942198,17492.33333
6160.833333,14271.25,0.831627644,17160.75
6538.833333,13967.16667,0.813708691,17164.5
6570.666667,14302.58333,0.814181331,17570.66667
8066.833333,13800.16667,0.755849456,18263.5
10812.75,12564.66667,0.641680925,19626.75
16517.33333,9303.666667,0.430371003,21712.58333
19947.41667,8704.916667,0.358033418,24317.83333
20133.5,9056.5,0.364604728,24839.25
19872.08333,9102.666667,0.369323138,24647.25
19775.5,8887.916667,0.365601595,24308.91667
19906.25,8404.583333,0.35032093,23992.25
19036,8086.333333,0.351629508,22995.58333
18082.16667,7520.75,0.345665103,21758.08333
17845.5,6214.416667,0.296818289,20929.33333
17665.75,5619,0.277707929,20230
17704.25,5067.083333,0.256287332,19769.66667
17700.41667,4896.916667,0.250249484,19567.75
18236.66667,4680.25,0.235553343,19868.75
18844.41667,4949.75,0.239828031,20639.33333
20195.66667,4761.833333,0.218777395,21775.16667
19789.33333,5614.416667,0.252414655,22245.16667
15560,9543,0.433141727,22043.16667
12313.25,12523.16667,0.569987247,21971.25
12757.41667,12291.58333,0.553443132,22211.66667
12587.25,12490.58333,0.556118246,22461.08333
13946.25,11661.91667,0.50649551,23037.25
15601.33333,10977.5,0.457826309,23990.08333
17848.25,9561.416667,0.38783507,24660.25
20061.83333,8329.583333,0.330473733,25216.66667
22667.58333,7351.083333,0.281935229,26078.58333
24153.75,7889.166667,0.28547466,27631.58333
24422.41667,7541.75,0.271889,27738.25
23347.5,7854.833333,0.2905506,27038.33333
22539.41667,8324.666667,0.314169634,26498.83333
21786.08333,8016.166667,0.312080425,25684.83333
20536.75,7020.583333,0.289777867,24212.33333
19491.5,6107.416667,0.269258708,22689.83333
18367.33333,6002.75,0.277492104,21632.66667
